state,total_enrolment,national_share_percent,cumulative_share_percent,avg_enrolment,avg_biometric,avg_demographic,avg_bio_to_enrol,system_stress_index
ORISSA,1306,0.0495073337950479,99.7871866983726,54.41666666666666,403.7916666666667,351.125,11.758316491765257,0.016768504027692168
PONDICHERRY,539,0.0204321997821828,99.96793016509145,24.5,270.1818181818182,88.68181818181819,12.211990081701073,0.016738103446543782
CHANDIGARH,890,0.0337377695846804,99.86694430197504,37.083333333333336,540.125,906.25,10.814602089354985,0.015397936204261798
ARUNACHAL PRADESH,2027,0.0768387179192666,99.73767936457756,67.08695652173913,466.4347826086956,454.1739130434783,8.927449568821132,0.013267764805320157
LAKSHADWEEP,67,0.0025398096204197,99.99234266353248,3.35,16.2,13.1,7.770476190476191,0.00971134419101688
DAMAN & DIU,6,0.0002274456376495,99.99977255436237,1.25,8.5,9.5,7.125,0.008742460746754678
SIKKIM,1214,0.0460198340177551,99.83320653239036,26.39130434782609,108.34782608695652,269.9130434782609,5.747948578861992,0.00766539236683345
DADRA & NAGAR HAVELI,11,0.0004169836690241,99.99878695659922,1.0,4.888888888888889,3.2222222222222223,4.888888888888889,0.005552984464027726
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,55,0.0020849183451207,99.9944275818776,3.055555555555556,7.444444444444445,41.05555555555556,4.288359788359788,0.004727680864361342
JAMMU & KASHMIR,42,0.0015921194635467,99.99601970134115,2.25,4.9375,5.75,2.890625,0.002723975720891864
LADAKH,180,0.0068233691294859,99.98438206621476,8.571428571428571,16.571428571428573,28.857142857142858,2.679943865658151,0.0025252518589261135
WEST BANGAL,3,0.0001137228188247,99.99988627718118,1.0,2.0,3.0,2.0,0.0014266807157833133
WESTBENGAL,3,0.0001137228188247,100.0,1.0,2.0,2.0,2.0,0.0014266807157833133
WEST  BENGAL,10,0.0003790760627492,99.9995451087247,1.0,1.0,2.0,1.0,4.183970372708818e-06
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,716,0.027141846092844,99.9233887277184,,,,,
100000,10,0.0003790760627492,99.99916603266196,,,,,
